Name,MedNet Code,Address,City,Web Site,Phone,Insurance Plan,Hcfa Type,Edi Service
INTER GROUP ASSISTANCE SERVICE,15500,15500 NEW BARN RD STE 200 BR/110,"33014 MIAMI LAKES, FL",,(305) 594-9291,N/A,HCFA1500 12-02,
INTER VALLEY HEALTH PLAN,869010,PO BOX 869010,"75086 PLANO, TX",,(909) 784-3420,N/A,HCFA1500 12-02,
INTER VALLEY HEALTH PLAN,6002,PO BOX 6002,"91769 POMONA, CA",,(800) 251-8191,N/A,HCFA1500 12-02,
INTER-AMERICAN SOCCER LEAGUE,5413,5413 W DIVERSEY,"60639 CHICAGO, IL",,(773) 622-6627,N/A,HCFA1500 12-02,
INTERACTIVE MEDICAL SYSTEM,19108,PO BOX 1349,"27588 WAKE FOREST, NC",,(800) 426-8739,N/A,HCFA1500 12-02,
INTERBAKE FOODS,W57049,1 DEVILS FOOD DRIVE,"57049 N SIOUX CITY, SD",,(605) 232-4959,WORKERS COMPENSATION,HCFA1500 12-02,
INTERCARE,591,PO BOX 5915,"92863 ORANGE, CA",https://intercareins.com/contact/,(800) 771-5454,N/A,HCFA1500 12-02,
INTERCARE HOLDING,5791,PO BOX 579,"95661 ROSEVILLE, CA",,(800) 771-5454,N/A,HCFA1500 12-02,
INTERCARE HOLDING SERVICES,W4387,P O BOX 4387,"91222 GLENDALE, CA",,(888) 434-0414,WORKERS COMPENSATION,HCFA1500 12-02,
INTERGOVERNMENTAL RISK,4940,999 OAKMONT PLAZA DR STE 310,"60559 WESTMONT, IL",,(708) 562-0300,WORKERS COMPENSATION,HCFA1500 12-02,
INTERMOUNTAIN CLAIMS INC,W4350,PO BOX 4367,"83711 BOISE, ID",,(800) 349-0373,WORKERS COMPENSATION,HCFA1500 12-02,
INTERNATIONAL BENEFIT ADMIN,576,P O BOX 576,"21012 ARNOLD, MD",,(878) 222-4415,N/A,HCFA1500 12-02,CLAIM-MD
INTERNATIONAL BENEFIT ADMINISTRATORS,9306,PO BOX 9306,"11530 GARDEN CITY, NY",,(800) 422-7617,N/A,HCFA1500 12-02,
INTERNATIONAL BENEFITS,11530,PO BOX 9304,"11530 GARDEN CITY, NY",,(877) 390-2501,N/A,HCFA1500 12-02,CLAIM-MD
INTERNATIONAL BENEFITS ADMIN,100G,100 GARDEN CITY PLZ,"11530 GARDEN CITY, NY",,(878) 222-4415,N/A,HCFA1500 12-02,CLAIM-MD
INTERNATIONAL BENEFITS ADMINISTRATORS,115301,100 GARDEN CITY PLAZA  SUITE 110,"11530 GARDEN CITY, NY",,(878) 222-4410,N/A,HCFA1500 12-02,CLAIM-MD
INTERNATIONAL BENEFITS ADMINISTRATORS ,22604,PO BOX 2660,"48333 FARMINGTON HILLS, MI",,(877) 390-2501,N/A,HCFA1500 12-02,
INTERNATIONAL BENEFITS ADMINISTRATORS/LIFE SHIELD,48333,PO BOX 3080,"48333 FARMINGTON HILLS, MI",,(878) 222-4411,N/A,HCFA1500 12-02,
INTERNATIONAL HEALTHCARE,33173,7001 SW 97TH AVENUE ,"33173 MIAMI, FL",,(800) 726-1203,N/A,HCFA1500 12-02,
INTERNATIONAL MEDICAL ASSISTANCE,6160,616 CORPORATE WAY STE 2,"10989 VALLEY COTTAGE, NY",,(800) 621-0295,PHCS,HCFA1500 12-02,
INTERNATIONAL MEDICAL PLAN,89116,PO BOX 43509,"89116 LAS VEGAS, NV",,(305) 459-4980,N/A,HCFA1500 12-02,
INTERNATIONAL RISK MANAGEMENT GRP,4764,PO BOX 2104,"18901 DOYLESTOWN, PA",,(888) 622-4764,N/A,HCFA1500 12-02,
INTERNATIONAL SERVICES,1655,1655 N FORT MEYER ,"22209 ARLINGTON, VA",,(800) 335-0611,N/A,HCFA1500 12-02,
INTERNATIONAL SOLUTIONS,W5354,PO BOX 535489,"75053 GRAND PRAIRIE, TX",,(800) 559-5556,WORKERS COMPENSATION,HCFA1500 12-02,
INTERNATIONAL SOS/HCM BILLING,181,PO BOX 18100,"19116 PHILADELPHIA, PA",,(800) 585-2211,N/A,HCFA1500 12-02,
INTERPRIM MANAGEMENT ,07002,26 W 45TH STREET SUITE #1,"07002 BAYONNE, NJ",,,N/A,HCFA1500 12-02,
INTERSTATE BANKERS,60631,8501 W HIGGINS ROAD ,"60631 CHICAGO, IL",,(773) 693-3930,N/A,HCFA1500 12-02,
INTERSTATE BRANDS CORP,W1511,1511 W LINCOLN,"61605 PEORIA, IL",,(309) 674-9221,WORKERS COMPENSATION,HCFA1500 12-02,
INTERSTATE CARRIER XPRESS,WC3820,3820 WISEMAN LANE,"62305 QUINCY, IL",,(217) 224-9876,WORKERS COMPENSATION,HCFA1500 12-02,
INTERSTATE MECHANICAL CORP,W1378,PO BOX 1378,"51102 SIOUX CITY, IA",,(712) 255-1645,WORKERS COMPENSATION,HCFA1500 12-02,
INTERSTATE POWERSYSTEM,W0407,407 ADVENTURELAND DRIVE NE,"50009 ALTOONA, IA",,(515) 957-3300,WORKERS COMPENSATION,HCFA1500 12-02,
INTRACORP,W6050,PO BOX 6050,"18505 SCRANTON, PA",,(800) 641-4449,WORKERS COMPENSATION,HCFA1500 12-02,
INTRACORP-W/C,W3567,3567 PARKWAY LANE STE 200,"30092 NORCROSS, GA",,(800) 641-4449,WORKERS COMPENSATION,HCFA1500 12-02,
INTRACORP-W/C,525,525 W MONROE ,"60661 CHICAGO, IL",,(877) 391-2255,WORKERS COMPENSATION,HCFA1500 12-02,
INTRAFAB,W2411,11421 KILEY DR,"60142 HUNTLEY, IL",,(847) 961-5656,WORKERS COMPENSATION,HCFA1500 12-02,
INTRATHECAL THERAPY FOR PAIN MNGMT CO-PMT ASSISTANCE PROGRAM,055,55 KENOSIA AVE,"06813 DANBURY, CT",,(800) 999-6673,N/A,HCFA1500 12-02,
INTRINSIC QUALITY,W5598,2201 LANDMEIER,"60007 ELK GROVE VILLAGE, IL",,(847) 258-5598,WORKERS COMPENSATION,HCFA1500 12-02,
INVALID INSURANCE CODE ,4165,DO NOT USE,"64141 KANSAS CITY, MO",,(800) 334-8230,WORKERS COMPENSATION,HCFA1500 12-02,
INVISIBLE FENCE,W5202,5202 38TH AVE  STE 2,"61265 MOLINE, IL",,(309) 797-1688,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA AMEDD DET,7105,7105 NW 70TH AVENUE,"50131 JOHNSTON, IA",,(515) 252-4628,N/A,HCFA1500 12-02,
IOWA CLINIC,W144,1215 PLEASANT STREET STE 618,"50309 DES MOINES, IA",,(515) 241-5988,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA COMPREHENSIVE,33728,PO BOX 33728,"46203 INDIANAPOLIS, IN",,(800) 877-5156,N/A,HCFA1500 12-02,
IOWA DEPARTMENT OF JUSTICE,A1305,1305 E WALNUT STREET,"50319 DES MOINES, IA",,(515) 281-5164,LITIGATION,HCFA1500 12-02,
IOWA DEPARTMENT OF THE BLIND,52450,524 4TH ST,"50309 DES MOINES, IA",,(800) 362-2587,N/A,HCFA1500 12-02,
IOWA DONOR NETWORK,52317,550 MADISON AVE,"52317 NORTH LIBERTY, IA",,(319) 665-3787,N/A,HCFA1500 12-02,
IOWA HEALTH HOME CARE W/C,W1133,11333 AURORA AVE,"50322 URBANDALE, IA",,(515) 557-3100,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA HEALTH PHYSICIANS,W12212,1221 PLEASANT ST  STE 200,"50309 DES MOINES, IA",,,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA HEALTH SYSTEMS/UNITY POINT/SELF FUNDED,1042,118 2ND ST SOUTH/EAST-ATTN HR,"52401 CEDAR RAPIDS, IA",,(319) 739-2441,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA HOME HEALTH HOSPICE,3331,11333 AURORA AVE,"50322 URBANDALE, IA",,(515) 557-3100,N/A,HCFA1500 12-02,
IOWA INTERSTATE RAILROAD,W5900,5900 6TH ST SW,"52404 CEDAR RAPIDS, IA",,(319) 298-5440,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA LAMB CORP,W3151,PO BOX 352,"51023 HAWARDEN, IA",,(712) 511-1126,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA LUTHERAN HOSPITAL,WC700,700 E UNIVERSITY ATTN: DELLA W/C,"50316 DES MOINES, IA",,(515) 263-5115,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA LUTHERAN HOSPITAL,W5612,700 R UNIV AVE- RISK MANAGEMENT,"50316 DES MOINES, IA",,(515) 263-5612,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA MUTUAL,W509,509 9TH ST,"52742 DE WITT, IA",,(317) 431-4097,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA MUTUAL,W5274,PO BOX 153,"25321 CHARLESTON, WV",,(563) 659-3231,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA MUTUAL INSURANCE,2904,PO BOX 290,"52742 DEWITT, IA",,(563) 659-3231,AUTO INSURANCE,HCFA1500 12-02,CLAIM-MD
IOWA PACIFIC HOLDINGS,4257,118 S. CLINTON STREET,"60661 CHICAGO, IL",,(312) 466-0900,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA SCREENING PROGRAMS,50050,500 E COURT AVE  STE 305,"50309 DES MOINES, IA",,(515) 237-3974,N/A,HCFA1500 12-02,
IOWA SCREENING PROGRAMS ,15501,1501 50TH STREET SUITE 110,"50266 WEST DES MOINES, IA",,(515) 412-2805,N/A,HCFA1500 12-02,
IOWA SELECT FARMS,W1930,1930 290TH ST,"50246 STANHOPE, IA",,(641) 648-4479,WORKERS COMPENSATION,HCFA1500 12-02,
IOWA TOTAL CARE,803,PO BOX 8030,"63640 FARMINGTON, MO",,(833) 404-1061,MEDICAID IOWA HMO,HCFA1500 12-02,CLAIM-MD
IOWA-IL SAFETY COUNCIL,W8013,6200 AURORA AVE ,"50322 URBANDALE, IA",,(515) 276-4724,WORKERS COMPENSATION,HCFA1500 12-02,
IPEP,W4023,PO BOX 4023,"52733 CLINTON, IA",,,WORKERS COMPENSATION,HCFA1500 12-02,
IPEP,W69666,PO BOX 6966,"97228 PORTLAND, OR",,,WORKERS COMPENSATION,HCFA1500 12-02,
IPMG,7106,225 SMITH RD,"60174 SAINT CHARLES, IL",,(630) 789-2082,N/A,HCFA1500 12-02,
IPMG CLAIMS MANAGEMENT CMS,W2251,225 SMITH ROAD,"60174 SAINT CHARLES, IL",,(877) 616-0504,WORKERS COMPENSATION,HCFA1500 12-02,
IPMG CLAIMS MGMT CMS WC,22555,225 SMITH RD,"60174 SAINT CHARLES, IL",,(888) 377-5845,WORKERS COMPENSATION,HCFA1500 12-02,
IPMG EMPLOYEE BENEFIT SERVICES,32133,PO BOX 3213,"53201 MILWAUKEE, WI",,(800) 423-1841,N/A,HCFA1500 12-02,CLAIM-MD
IPRF,W5650S,5650 S BRAINARD AVE STE 101,"60525 COUNTRYSIDE, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
IPSSSC,W1301,1301 CONCORDIA CT,"62702 SPRINGFIELD, IL",,(217) 557-6010,WORKERS COMPENSATION,HCFA1500 12-02,
IRAK LAW OFFICES,A9219,9219 BROADWAY,"46410 MERRILLVILLE, IN",www.iraklaw.com,(219) 769-4552,LITIGATION,HCFA1500 12-02,
IRETON FARMERS COOP,W10063,1006 HIGHWAY K30 ATTN: W/C,"51027 IRETON, IA",,(712) 278-2312,WORKERS COMPENSATION,HCFA1500 12-02,
IRMA,W49400,4 WESTBROOK CORPORATE CTR STE 940,"60154 WESTCHESTER, IL",,(708) 562-0300,WORKERS COMPENSATION,HCFA1500 12-02,
IRMA,601545,PO BOX 6966,"97228 PORTLAND, OR",,(866) 890-7785,WORKERS COMPENSATION,HCFA1500 12-02,
IRON WORKERS,10856,PO BOX 1085 ,"63043 MARYLAND HEIGHTS, MO",,(877) 597-8704,N/A,HCFA1500 12-02,
IRON WORKERS,30124,PO BOX 30124,"84130 SALT LAKE CITY, UT",,(888) 867-9510,N/A,HCFA1500 12-02,
IRON WORKERS LOCAL 395,395,2111 W LINCOLN HWY,"46410 MERRILLVILLE, IN",,(800) 448-6262,N/A,HCFA1500 12-02,
IRON WORKERS LOCAL 63,903,1520 KENSINGTON RD 200,"60523 OAK BROOK, IL",,(800) 997-4586,N/A,HCFB1500 12-02,
IRON WORKERS LOCAL 8,0912,PO BOX 091249,"53209 MILWAUKEE, WI",,(414) 476-9896,N/A,HCFA1500 12-02,
IRON WORKS LTD,W1924,1924 SW 2ND ST,"50315 DES MOINES, IA",,(515) 288-8981,WORKERS COMPENSATION,HCFA1500 12-02,
IRON WORKS ST LOUIS DIS COUNCIL,10986,PO BOX 1098,"63043 MARYLAND HEIGHTS, MO",,(314) 856-1091,N/A,HCFA1500 12-02,
IRONREHEALTH,256,PO BOX 256,"21012 ARNOLD, MD",,(800) 342-5058,COMMERCIAL ,HCFA1500 12-02,
IROQUOIS COUNTY IPA,1790,1790 E WALNUT ST,"60970-1644 WATSEKA, IL",,(815) 432-5259,N/A,HCFA1500 12-02,
IRVIN MASCHING,A247,105 E CHIPPEWA ST,"60420 DWIGHT, IL",,(815) 584-1700,LITIGATION,HCFA1500 12-02,
IRWIN PAINTING & DECORATING,W4106,4106 SAXONY CIRCLE,"51104 SIOUX CITY, IA",,,WORKERS COMPENSATION,HCFA1500 12-02,
IRWIN TELESCOPIC SEATING,W3206,PO BOX 320 ,"62411 ALTAMONT, IL",,(618) 483-6157,WORKERS COMPENSATION,HCFA1500 12-02,
ISDA,3331200,333 WEST WACKER ,"60606 CHICAGO, IL",,(800) 419-3206,N/A,HCFA1500 12-02,
ISDA CLAIMS ADMIN.,WC37001,155 N WACKER DRIVE SUITE 3700,"60606 CHICAGO, IL",,,N/A,HCFA1500 12-02,
ISLA MARIA RESTAURANT,W24006,2400 S PULASKI ROAD,"60623 CHICAGO, IL",,(773) 522-1300,WORKERS COMPENSATION,HCFA1500 12-02,
ISLE OF CAPRI,WC1821,1821 STATE ST,"52722 BETTENDORF, IA",,(469) 546-2983,WORKERS COMPENSATION,HCFA1500 12-02,
ISTA INSURANCE TRUST SAG,150830,150 W MARKET ST STE 830,"46204 INDIANAPOLIS, IN",,,N/A,HCFA1500 12-02,
ISU STUDENT INSURANCE,126601,PO BOX 2660,"61790 NORMAL, IL",,(309) 438-4495,N/A,HCFA1500 12-02,
ISU STUDENT INSURANCE,2541,CAMPUS BOX 2541,"61790 NORMAL, IL",,(309) 438-2515,AETNA,HCFA1500 12-02,
ITALIAN FOOD FACTORY,W2365,2365 HAMMOND DRIVE ATTN: W/C CLAIMS,"60173 SCHAUMBURG, IL",,(847) 397-4479,WORKERS COMPENSATION,HCFA1500 12-02,
ITW BUILDEX,W5541,86 CHANCELLOR DRIVE,"60172 ROSELLE, IL",,(630) 616-5541,WORKERS COMPENSATION,HCFA1500 12-02,
ITW BUILDEX,W1765,1765 HOLMES DRIVE,"60123 ELGIN, IL",,(847) 944-7673,WORKERS COMPENSATION,HCFA1500 12-02,
ITW PLASTIC SOLUTION,W4542,2150 S US HWY 45/52,"60901 KANKAKEE, IL",,(815) 939-0033,WORKERS COMPENSATION,HCFA1500 12-02,
IU ATHLETIC DEPARTMENT,2805,2805 E 10TH ST,"47408 BLOOMINGTON, IN",,(812) 855-2794,N/A,HCFA1500 12-02,
IU HEALTH BENEFITS,47202,PO BOX 627,"47202 COLUMBUS, IN",,(800) 873-2022,N/A,HCFA1500 12-02,
IU HEALTH PLAN,11196,PO BOX 211653,"55121 EAGAN, MN",,(866) 895-5980,IU HEALTH PLAN,HCFA1500 12-02,CLAIM-MD
IU HEALTH PLANS MEDICARE ADV,9700,PO BOX 4287,"18505 SCRANTON, PA",,(317) 963-9700,MEDICARE REPLACEMENT,HCFA1500 12-02,CLAIM-MD
IU HEALTH RADIOLOGY,22550,250 N SHADELAND AVE ,"46219 INDIANAPOLIS, IN",,(317) 962-3580,COMMERCIAL ,HCFA1500 12-02,
IU HEALTHPLAN,I447,PO BOX 447,"21090 LINTHICUM, MD",,,N/A,HCFA1500 12-02,
IU HLTH TRANSPLANT CNTR,00550,550 UNIV BLVD RM 4601,"46202 INDIANAPOLIS, IN",,(800) 382-4602,N/A,HCFA1500 12-02,
IU WORKERS COMP,W420420,420 N WALNUT ST,"47404 BLOOMINGTON, IN",,,N/A,HCFA1500 12-02,
IUOE LOCAL 14,15918,159-18 NORTHERN BLVD.,"11358 FLUSHING, NY",,(718) 939-1489,N/A,HCFA1500 12-02,
IUOE LOCAL 542 BENEFIT FUNDS,16270,PO BOX 1627,"19034 FORT WASHINGTON, PA",,(800) 233-2043,N/A,HCFA1500 12-02,
IVC HOSPITAL,W0925,925 WEST STREET,"61354 PERU, IL",,(815) 223-3300,WORKERS COMPENSATION,HCFA1500 12-02,
IYC,4170,3825 COMPTON HILLS RD,"60175 SAINT CHARLES, IL",,(630) 584-0506,WORKERS COMPENSATION,HCFA1500 12-02,
IYC,605552,PO BOX 828,"60555 WARRENVILLE, IL",,(866) 479-1708,WORKERS COMPENSATION,HCFA1500 12-02,
IYC KEWANEE,6144,2021 KENTVILLE RD,"61443 KEWANEE, IL",,(309) 852-4601,N/A,HCFA1500 12-02,
J AND D LANDSCAPING,W3212,3212 N SALK RD ATTN: W/C CLAIMS,"60004 ARLINGTON HEIGHTS, IL",,(847) 774-7352,WORKERS COMPENSATION,HCFA1500 12-02,
J GREGORY LAFEVERS,A6440,6440 S LEW AVE STE 100,"74136 TULSA, OK",,(918) 496-9258,LITIGATION,HCFA1500 12-02,
J M POLCURR INC,W10127,10127 W ROOSEVELT RD,"60154 WESTCHESTER, IL",,(708) 450-1156,WORKERS COMPENSATION,HCFA1500 12-02,
J MAC DIRTWORK & CON,WC1232,HWY 1232,"71483 WINNFIELD, LA",,(318) 727-8116,WORKERS COMPENSATION,HCFA1500 12-02,
J W TERRILL & ADM,989,PO BOX 989,"63006 CHESTERFIELD, MO",,(800) 467-5982,N/A,HCFA1500 12-02,
J&L STAFFING,WC219,ATTN: ARACEL,"51103 SIOUX CITY, IA",,(712) 224-2090,WORKERS COMPENSATION,HCFA1500 12-02,
J-MEC,W920,PO BOX 125,"53551 LAKE MILLS, WI",,(920) 648-4569,WORKERS COMPENSATION,HCFA1500 12-02,
J.B. DORSEY AND ASSOC,A20002,146 TENNESSEE AVE NE,"20002 WASHINGTON, DC",,(202) 543-2200,LITIGATION,HCFA1500 12-02,
JAC MASONRY INC,WC242,242 PARK AVE,"60046 LAKE VILLA, IL",,(847) 736-2226,WORKERS COMPENSATION,HCFA1500 12-02,
JACK FROST IRONWORKS INC,WC191,PO BOX 191,"60020 FOX LAKE, IL",,(847) 587-6068,WORKERS COMPENSATION,HCFA1500 12-02,
JACKOBSON AND SORKIN LTD,606021,77 W WASHINGTON ,"60602 CHICAGO, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
JACKS WOMEN BRIDAL,WC738,738 N GREENBAY RD,"60085-4981 WAUKEGAN, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
JACKSON PARISH CORRECTIONAL,DOC287,287 INDUSTRIAL DR. ,"71251 JONESBORO, LA",,(318) 259-8799,N/A,HCFA1500 12-02,
JACKSON RECOVERY,W800200,800 5TH STREET STE 200,"51101 SIOUX CITY, IA",,(712) 234-2300,WORKERS COMPENSATION,HCFB1500 12-02,
JACKSONVILLE DEVELOPMENTAL CENTER,W1201,1201 S MAIN ,"62650 JACKSONVILLE, IL",,(217) 479-2131,WORKERS COMPENSATION,HCFA1500 12-02,
JACKSONVILLE MACHINE INC,2265,2265 W MORTON RD,"62850 JOHNSONVILLE, IL",,(217) 243-1119,WORKERS COMPENSATION,HCFA1500 12-02,
JACOBSMA AND CLABAUGH P.L.C.,A5599,P.O. BOX 384,"51041 ORANGE CITY, IA",,(712) 707-5599,LITIGATION,HCFA1500 12-02,
JACOBSON STAFFING//USEAIGW597,W2271,2271 52ND AVE,"61265 MOLINE, IL",,(309) 797-8340,WORKERS COMPENSATION,HCFA1500 12-02,
JACOBSON STAFFING/USEAIGW597,WC1111,2501 EXPEDITION CT,"51111 SIOUX CITY, IA",,(309) 797-8340,WORKERS COMPENSATION,HCFA1500 12-02,
JAKACKI BAG & BARRELL,W4607,4607 W LEXINGTON,"60644 CHICAGO, IL",,(773) 287-6100,WORKERS COMPENSATION,HCFA1500 12-02,
JAMES A CARLIN,A17000,17000 W TEN MILE RD,"48075 SOUTHFIELD, MI",,(248) 552-9700,LITIGATION,HCFA1500 12-02,
JAMES A THOMAS ATTORNEY AT LAW,A2275,175 W JACKSON BLV,"60604 CHICAGO, IL",,(312) 238-7130,LITIGATION,HCFA1500 12-02,
JAMES CHAPMAN,60653,3629 S PRAIRIE AVENUE,"60653 CHICAGO, IL",,(312) 593-6998,N/A,HCFA1500 12-02,
JAMES CRABTREE CORRECTIONAL CENTER,22116,216 NORTH MURRAY STREET,"73741 HELENA, OK",,(580) 852-3221,COMMERCIAL ,HCFA1500 12-02,
JAMES E ONEIL,48638,973 MIDLAND RD,"48638 SAGINAW, MI",,(989) 790-6611,LITIGATION,HCFA1500 12-02,
JAMES ECONOMY,A932,PO BOX 422,"60081 SPRING GROVE, IL",,(815) 675-0930,LITIGATION,HCFA1500 12-02,
JAMES ELLIS GUMBINER & ASSOC,W180,180 N MICHIGAN AVE ,"60601 CHICAGO, IL",,(312) 346-7888,LITIGATION,HCFA1500 12-02,
JAMES F BISHOP AND ASSOCIATES,A0244,550 W WOODSTOCK,"60014 CRYSTAL LAKE, IL",,(815) 455-0244,LITIGATION,HCFA1500 12-02,
JAMES GERAGHTY LAW OFFICES,A1861,111 W WASHINGTON #1861,"60602 CHICAGO, IL",,(312) 551-0457,LITIGATION,HCFA1500 12-02,
JAMES GERAGHTY LAW OFFICES,A4241,4241 S ARCHER AVE,"60632 CHICAGO, IL",http://www.lawofficejmg.com/,(312) 551-0457,LITIGATION,HCFA1500 12-02,
JAMES HOFFMAN ATTNY,A3551,3550 270TH AVE,"52632 KEOKUK, IA",,(319) 524-4441,LITIGATION,HCFA1500 12-02,
JAMES HOOD,A528,200 EMERSON PLACE  STE 100,"52801 DAVENPORT, IA",,(563) 323-5255,LITIGATION,HCFA1500 12-02,
JAMES INSTRUMENTS,W3727,3727 N KEDZIE,"60625-3500 CHICAGO, IL",,(773) 463-6565,WORKERS COMPENSATION,HCFA1500 12-02,
JAMES K MAREMONT & ASSOCIATES,A6844,134 N LASALLE ST,"60602 CHICAGO, IL",,(312) 236-6844,LITIGATION,HCFA1500 12-02,
JAMES L KOPECKY,A190,190 S LASALLE ST  STE 850,"60603 CHICAGO, IL",,(312) 527-3966,LITIGATION,HCFA1500 12-02,
JAMES M RIDGE AND ASSOC.,A0101,415 N.E. JEFFERSON AVE,"61603 PEORIA, IL",,(309) 676-1818,LITIGATION,HCFA1500 12-02,
JAMES MARTIN & ASSOC,WC59,59 E US HWY 45,"60061 VERNON HILLS, IL",,(847) 634-8298,WORKERS COMPENSATION,HCFA1500 12-02,
JAMES MCHUGH CONSTRUCTION,W1737,1737 S MICHIGAN AVE,"60616-5059 CHICAGO, IL",,(312) 821-0314,WORKERS COMPENSATION,HCFA1500 12-02,
JAMES MESSINEO & ASSOCIATES,A1618,1618 COLONIAL PKWY,"60067 INVERNESS, IL",,(847) 705-9072,LITIGATION,HCFA1500 12-02,
JAMES P GINZKEY ATTNY AT LAW,A22100,221 EAST WASHINGTON ST,"61701 BLOOMINGTON, IL",,(309) 821-9707,LITIGATION,HCFA1500 12-02,
JAMES P HOFFMAN,A3550,3550 270TH AVE,"52632 KEOKUK, IA",,(319) 524-4441,LITIGATION,HCFA1500 12-02,
JAMES P LEAHY,A1275,1275 DAVIS RD  STE 131,"60123 ELGIN, IL",,(847) 695-9806,LITIGATION,HCFA1500 12-02,
JAMES P MCCARTHY,A1025,150 S WACKER DR STE 1025,"60606 CHICAGO, IL",,(312) 541-0022,LITIGATION,HCFA1500 12-02,
JAMES PAYONK JR,A1237,15414 S HARLEM AVE,"60462 ORLAND PARK, IL",,(708) 633-6005,LITIGATION,HCFA1500 12-02,
JAMES RIVER INSURANCE ,27648,PO BOX 27648,"23261 RICHMOND, VA",,(804) 289-2712,AUTO INSURANCE,HCFA1500 12-02,
JAMES TUTAJ,A170,170 CENTER STREET,"60030 GRAYSLAKE, IL",,(847) 223-0940,LITIGATION,HCFA1500 12-02,
JAMIE M TRAPP & ASSOCIATES,A600,205 W WACKER STE 600,"60606 CHICAGO, IL",,(312) 368-1444,LITIGATION,HCFA1500 12-02,
JANE NYLEN CANCER CENTER,0088,230 NEBRASKA STREET,"51101 SIOUX CITY, IA",,(712) 252-0088,N/A,HCFA1500 12-02,
JANSEN LAWN SERVICE,W2436,2436 WILLIAMS AVE,"51104 SIOUX CITY, IA",,(712) 276-8061,WORKERS COMPENSATION,HCFA1500 12-02,
JANSSEN LAW CENTER,A333,333 MAIN STREET,"61602 PEORIA, IL",,(309) 676-2341,LITIGATION,HCFA1500 12-02,
"JAS, INC.",48851,4885 SOUTH 900 EAST STE 202,"84117 SALT LAKE CITY, UT",,(800) 345-3248,N/A,HCFA1500 12-02,
JASMER LAW FIRM,A6344,111 W WASHINGTON ST,"60602 CHICAGO, IL",,(312) 782-6344,LITIGATION,HCFA1500 12-02,
JASON MARKER,A60440,400 W BOUGHTON RD #200,"60440 BOLINGBROOK, IL",,(630) 759-7000,LITIGATION,HCFA1500 12-02,
JAUREGUI AND ASSOC,A9103,1545 W 118TH ST ,"60608 CHICAGO, IL",,(312) 781-9103,LITIGATION,HCFA1500 12-02,
JAY S SHETH ATTORNEY AT LAW,A157,6900 MAIN STREET,"60516 DOWNERS GROVE, IL",,(630) 964-5700,LITIGATION,HCFA1500 12-02,
JAYCO,W46540,P O BOX 460,"46540 MIDDLEBURY, IN",,(574) 825-5861,WORKERS COMPENSATION,HCFA1500 12-02,
JB BLOCK ENTERPRISES INC,W0312,312 THOMAS STREET,"60004 ARLINGTON HEIGHTS, IL",,(847) 253-9679,WORKERS COMPENSATION,HCFA1500 12-02,
JB ESKER & SONS,W490,PO BOX 490,"62467 TEUTOPOLIS, IL",,(217) 857-6543,WORKERS COMPENSATION,HCFA1500 12-02,
JBS LOGISTICS,W013,200 REGENCY DR,"60139 GLENDALE HEIGHTS, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
JBS UNITED,W6142,1100 E WASHINGTON,"61420 BLANDINSVILLE, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
JC RESTORATION/SELF FUNDED,W8844,3200 SQUIBB AVE,"60008 ROLLING MEADOWS, IL",,(800) 956-8844,WORKERS COMPENSATION,HCFA1500 12-02,
JEFF ISAACSON,A0806,806 W WASHINGTON BLVD,"60607 CHICAGO, IL",,,LITIGATION,HCFA1500 12-02,
JEFF TANAKA/ADVOCATE CENTER,60612W,1515 S WOOD STREET,"60612 CHICAGO, IL",,(312) 848-9403,WORKERS COMPENSATION,HCFA1500 12-02,
JEFFERSON HEALTH PLANS,211123,PO BOX 211123,"55121 EAGAN, MN",https://www.healthpartnersplans.com/providers/provider-portals,(888) 991-9023,COMMERCIAL ,HCFA1500 12-02,CLAIM-MD
JEFFERSON LIFE,8004,PO BOX 800409,"75380 DALLAS, TX",,(800) 840-8137,WORKERS COMPENSATION,HCFA1500 12-02,
JEFFERSON NATIONAL LIFE,2009,PO BOX 2009,"46082 CARMEL, IN",,(800) 264-3300,N/A,HCFA1500 12-02,
JEFFREY BORA,A602,53 W JACSKON BLVD  STE 602,"60604 CHICAGO, IL",,(312) 929-4243,LITIGATION,HCFA1500 12-02,
JEFFREY D SCHULTZ,A9006,900 W JACSKON BLVD  STE 6E,"60607 CHICAGO, IL",,(312) 491-9000,LITIGATION,HCFA1500 12-02,
